Expression	Value	Location	Type	
[29]	'.' (0x2E)	0x2000'0141	uint8_t	
[30]	'0' (0x30)	0x2000'0142	uint8_t	
[31]	'0' (0x30)	0x2000'0143	uint8_t	
[32]	',' (0x2C)	0x2000'0144	uint8_t	
[33]	'6' (0x36)	0x2000'0145	uint8_t	
[34]	'.' (0x2E)	0x2000'0146	uint8_t	
[35]	'2' (0x32)	0x2000'0147	uint8_t	
[36]	'7' (0x37)	0x2000'0148	uint8_t	
[37]	'7' (0x37)	0x2000'0149	uint8_t	
[38]	'3' (0x33)	0x2000'014a	uint8_t	
[39]	'\n' (0x0A)	0x2000'014b	uint8_t	
[40]	'2' (0x32)	0x2000'014c	uint8_t	
[41]	'0' (0x30)	0x2000'014d	uint8_t	
[42]	'.' (0x2E)	0x2000'014e	uint8_t	
[43]	'0' (0x30)	0x2000'014f	uint8_t	
[44]	'0' (0x30)	0x2000'0150	uint8_t	
[45]	',' (0x2C)	0x2000'0151	uint8_t	
[46]	'0' (0x30)	0x2000'0152	uint8_t	
[47]	'.' (0x2E)	0x2000'0153	uint8_t	
[48]	'0' (0x30)	0x2000'0154	uint8_t	
[49]	'0' (0x30)	0x2000'0155	uint8_t	
[50]	',' (0x2C)	0x2000'0156	uint8_t	
[51]	'6' (0x36)	0x2000'0157	uint8_t	
[52]	'.' (0x2E)	0x2000'0158	uint8_t	
[53]	'2' (0x32)	0x2000'0159	uint8_t	
[54]	'7' (0x37)	0x2000'015a	uint8_t	
[55]	'7' (0x37)	0x2000'015b	uint8_t	
[56]	'2' (0x32)	0x2000'015c	uint8_t	
[57]	'\n' (0x0A)	0x2000'015d	uint8_t	
[58]	'2' (0x32)	0x2000'015e	uint8_t	
[59]	'0' (0x30)	0x2000'015f	uint8_t	
[60]	'.' (0x2E)	0x2000'0160	uint8_t	
[61]	'0' (0x30)	0x2000'0161	uint8_t	
[62]	'0' (0x30)	0x2000'0162	uint8_t	
[63]	',' (0x2C)	0x2000'0163	uint8_t	
[64]	'0' (0x30)	0x2000'0164	uint8_t	
[65]	'.' (0x2E)	0x2000'0165	uint8_t	
[66]	'0' (0x30)	0x2000'0166	uint8_t	
[67]	'0' (0x30)	0x2000'0167	uint8_t	
[68]	',' (0x2C)	0x2000'0168	uint8_t	
[69]	'6' (0x36)	0x2000'0169	uint8_t	
[70]	'.' (0x2E)	0x2000'016a	uint8_t	
[71]	'2' (0x32)	0x2000'016b	uint8_t	
[72]	'7' (0x37)	0x2000'016c	uint8_t	
[73]	'7' (0x37)	0x2000'016d	uint8_t	
[74]	'2' (0x32)	0x2000'016e	uint8_t	
[75]	'\n' (0x0A)	0x2000'016f	uint8_t	
[76]	'2' (0x32)	0x2000'0170	uint8_t	
[77]	'0' (0x30)	0x2000'0171	uint8_t	
[78]	'.' (0x2E)	0x2000'0172	uint8_t	
[79]	'0' (0x30)	0x2000'0173	uint8_t	
[80]	'0' (0x30)	0x2000'0174	uint8_t	
[81]	',' (0x2C)	0x2000'0175	uint8_t	
[82]	'0' (0x30)	0x2000'0176	uint8_t	
[83]	'.' (0x2E)	0x2000'0177	uint8_t	
[84]	'0' (0x30)	0x2000'0178	uint8_t	
[85]	'0' (0x30)	0x2000'0179	uint8_t	
[86]	',' (0x2C)	0x2000'017a	uint8_t	
[87]	'6' (0x36)	0x2000'017b	uint8_t	
[88]	'.' (0x2E)	0x2000'017c	uint8_t	
[89]	'2' (0x32)	0x2000'017d	uint8_t	
[90]	'7' (0x37)	0x2000'017e	uint8_t	
[91]	'7' (0x37)	0x2000'017f	uint8_t	
[92]	'2' (0x32)	0x2000'0180	uint8_t	
[93]	'\n' (0x0A)	0x2000'0181	uint8_t	
[94]	'2' (0x32)	0x2000'0182	uint8_t	
[95]	'0' (0x30)	0x2000'0183	uint8_t	
[96]	'.' (0x2E)	0x2000'0184	uint8_t	
[97]	'0' (0x30)	0x2000'0185	uint8_t	
[98]	'0' (0x30)	0x2000'0186	uint8_t	
[99]	',' (0x2C)	0x2000'0187	uint8_t	
[100]	'0' (0x30)	0x2000'0188	uint8_t	
[101]	'.' (0x2E)	0x2000'0189	uint8_t	
